,Unnamed: 0,c5,c1,c2,c3,c4,c6,c7,c8,c9,c10,c75,c132,c134,c136,c138,c139,c140,c141,c144,c145,c147,c149,c151,c152,c153,c155,c157,c160,c162,c203,c204,c214,c233,c234,c790,c22,c23,c24,c25,c26,c27,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c102,c104,c106,c108,c110,c112,c113,c114,c115,c117,c118,c143,c240,c241,c242,c243,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c76,c250,c205,c206,c207,c208,c210,c41,c43,c45,c47,c49,c50,c52,c53,c54,c55,c56,c57,c58,c59,c119,c120,c121,c122,c126,c127,c128,c129,c130,c78,c80,c82,c84,c86,c88,c90,c92,c94,c96,c98,c100,c111,c123,c124,c125,c184,c192,c244,c40,c44,c46,c48,c51,c77,c79,c81,c83,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c156,c158,c161,c163,c183,c191,c229,c230,end_of_record,32
82563,82563,19870507025679I,I,91.0,-5,F,,,,,2230.0,,Z,Y,,,,O,OTH,1H71,1.0,H,7.0,,3O,,,TR,,,,,,N,,,3453R,CESSNA,182L,182,3A13,CE,,,,H,,,,,,,NM,NM07,UT,WOODS CROSS,SALT LAKE SKYPARK,34,,,,04052N,11155W,1,B,B,S,,SCAT,,G10,,,,,,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870701.0,,19870701.0,,20120808.0,1,N,1.0,0.0,S,40.0,O,,,,,NM,NM07,UT,"OVERSHOT NIGHT LANDING, VEERED OFF RUNWAY TO AVOID A FENCE. OVER ONE HALF OF RUNWAY LIGHTS INOPERATIVE.            ",                              ,  ,    ,           ,  ,    ,      ,None                ,AF,S,I, ,NO,S,I, ,EX,HB,M,7,   ,U,U,N,F,F,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Improper Maintenance,"Inadequate Rwy, Taxi",Airport Supervisory ,                    ,Failed To Issue Nota,"Inadequate Rwy, Taxi",Airport Supervisory ,                    ,Overshoot Landing   ,Roll-Out (Fixed Wing,                    ,"Miscellaneous, Other",Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
82577,82577,19871031061469A,A,91.0,0.4,F,,,,,1430.0,,Z,Y,,,,O,OPP,1L71,1.0,L,7.0,,3O,3.0,O,,,,,,,N,,,275CH,AMTRQK,QUICKIE2,QUICKE,EXPA1L71,GL,,,,L,CONT,O200A,O200,E252,SO,O,NM,NM03,CO,WATKINS,COCHRAN LANDING,26,,,,,,1,E,B,S,,SCAT,,G10,,DRY,,,,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871104.0,19871124.0,,,20120808.0,1,N,1.0,0.0,S,44.0,N,7.0,7.0,46.0,814.0,NM,NM03,CO,"ON LANDING, RAN OFF SIDE OF RUNWAY INTO MUD AND FLIPPED OVER.PILOT HAD FAILED TO SECURE AILERON REFLEXER CONTROL.  ",                              ,  ,    ,           ,  ,    ,      ,None                ,ME,C,A, ,  , , , ,FX,HB,S,5,   ,N,N,N,H, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Fail/Incorrect Use M,Soft Shoulders      ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Nose Up Or Over     ,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Experimental Test Fl,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,                    ,                    ,,, ,
82633,82633,19870922059019A,A,91.0,0.4,N,,,,,943.0,,Z,Y,,,,O,DOD,1H71,1.0,H,7.0,,3O,3.0,O,,ZG,Z2,,,,N,,,8741Q,CESSNA,TU206G,206,A4CE,CE,,,,H,CONT,TSIO520M,O520,E8CE,SO,O,SO,SO19,FL,TAVERNIER,,,,,,,,1,B,B,S,,SCAT,,10,,,,,,,G,,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871009.0,19871009.0,,,20120808.0,1,N,5.0,0.0,S,28.0,N,125.0,15.0,33.0,540.0,SO,SO19,FL,LEFT ON OVER WATER FLIGHT WITH FUEL PUMP INOPERATIVE AND USING THE ELECTRIC AUX PUMP WHICH FAILED. DITCHED IN OCEAN,                              ,  ,    ,           ,  ,    ,      ,None                ,AU,D,A, ,28, , ,U,OC,DA,D,8,   ,Y,N,N,G, ,8,PRIVATE PILOT       ,ASMEL               ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Attempt Operation Wi,Ditching            ,Pilot-In-Command    ,                    ,2822,                    ,                    ,Undetermined        ,Forced Landing      ,Normal Cruise       ,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,Declared Emergency  ,Over Water/Into Wate,                    ,                    ,,, ,
82753,82753,19870927068249I,I,91.0,-5,F,,,,,1400.0,,Z,Y,,,,O,OPP,1Q71,1.0,Q,7.0,,3O,,,,,,,,,N,,,6027,CHILD,S2BPITTS,S2,A8SO,NM,,,,Q,,,,,,,WP,WP27,CA,LIVERMORE,LIVERMORE MUNI,,,,,,,1,B,B,S,,,,,,,,,,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871201.0,,19871201.0,,20120808.0,1,N,1.0,0.0,S,43.0,O,30.0,30.0,30.0,350.0,WP,WP15,CA,CANOPY SEPARATED THE AIRCRAFT DURING TAKEOFF ROLL. PILOT FORGOT TO LATCH THE CANOPY.                               ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,  , , , ,SE,IA,M,5,   ,N,N,N,F, ,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Other-Miscellaneous ,Takeoff Ground Roll ,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,"MULTI WING-BI/TRIPLANE,ETC    ",POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
82844,82844,19870831063679I,I,91.0,-5,F,,,,,1340.0,,Y,J,,,S,O,OPP,1H71,1.0,H,7.0,,3O,,,,,,,,,N,,,4831E,BBAVIA,7GC,7,A759,SW,,,,H,,,,,,,AL,AL03,AK,BIG LAKE,GOOSE BAY,25,,,,06124N,14951W,1,B,B,S,,CLER,,G10,,,,,,,,,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871116.0,,19871116.0,,20120808.0,3,N,1.0,3.0,S,61.0,O,600.0,10.0,30.0,9000.0,AL,AL03,AK,THE RIGHT MAIN GEAR COLLAPSED ON ROLLOUT OLEO STRUT WAS NOT CONNECTED AT THE THREADED JOINTS.                      ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,32, , ,I,CC,HB,M,8,   ,Y,Y,N,A, ,8,COMMERCIAL PILOT    ,ASEL                ,INSTRUMENT          ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,3213,                    ,                    ,Improper Instal - No,Gear Collapse       ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
82870,82870,19870816045699A,A,91.0,0.4,N,,,,,1600.0,,Z,Y,,,,O,OPP,1K00,1.0,K,0.0,,,,,,,,,,,N,,,9997Q,LET,L13BLANIK,L13,G24EU,EU,,,,K,,,,,,,SW,SW13,TX,LITTLEFIELD,LITTLEFIELD MUNI,1,,,,,,1,V,B,S,,CLER,,G10,,DRY,,,,,,,2.0,1.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870821.0,19870828.0,,,20120808.0,3,N,41.0,0.0,S,57.0,N,14.0,1.0,33.0,1298.0,SW,SW13,TX,ACTIVATED FLAPS INSTEAD OF SPOILERS ON APPROACH. TOO HIGH BEGAN A TURN TO LOSE ALTITUDE AND STALLED THE GLIDER.    ,                              ,  ,    ,           ,  ,    ,      ,None                ,ME,V,A, ,AS,V,A, ,KX,BD,S,5,   ,N,N,N,H,A,8,COMMERCIAL PILOT    ,G ASEL              ,RATINGS SHOWN BY 1ST,QUALIFIED           ,OTHER               ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Fail To Maintain Ade,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Stall               ,Final Approach      ,                    ,Pilot Induced       ,Personal            ,Glider              ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,KITE/SAILWING                 ,NONPOWERED                    ,                              ,                              ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,,, ,
82896,82896,19870924064559I,I,91.0,-5,F,,,,,1935.0,,Z,Y,,,,O,ATS,2L72,2.0,L,7.0,,4F,4.0,F,,ZT,ZG,,,A,N,N,,32TC,LEAR,35A,35,A10CE,CE,,,,L,ARSRCH,TFE731*,TFE731,E6WE,WP,F,GL,GL07,OH,COLUMBUS,PORT COLUMBUS INTL,28L,CMH,,,03959N,08253W,5,F,B,S,,SCAT,,G10,,DRY,,CMH,,,,,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871118.0,,19871118.0,,20120808.0,3,N,5.0,3.0,S,55.0,K,100.0,35.0,75.0,4400.0,EA,EA21,VA,SMOKE ACCOMPANIED PRESSURIZATION PROBLEMS. PILOT IMPROPERLY SET EMERGENCY VALVE. OIL FROM ENGINE WORK CAUSED SMOKE.,FLIGHT INTERNATIONAL INC      ,VA,BHKA,16EA146    ,EA,EA21,      ,Instrument Flight Ru,ME,O,A, ,OM,V,M, ,SE,CL, ,8,   ,U,U,N,E,S,3,COMMERCIAL PILOT    ,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Precautionary Landin,Pilot-In-Command    ,                    ,"Other, Miscellaneous",Other/Miscellaneous ,Maintenance And/Or G,                    ,Other-Miscellaneous ,Climb               ,                    ,Pilot And Maintenanc,Air Taxi (Non-Schedu,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,TURBOFAN/TURBOJET BYPASS      ,                              ,Smoke/Fumes In Cockp,Declared Emergency  ,                    ,                    ,,, ,
82908,82908,19870919066179I,I,91.0,-5,F,,,,,1.0,,B,D,,,,F,ATS,1H71,1.0,H,7.0,,3O,,,TR,,,,,,N,,,61770,CESSNA,172M,172,3A12,CE,,,,H,,,,,,,GL,GL11,IN,GREENSBURG,GREENSBURG-DECATUR,18,,,,,,1,B,C,S,,,,,,WET,,,,,,,4.0,3.0,0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,19871125.0,,19871125.0,,20120808.0,1,N,1.0,0.0,S,17.0,O,3.0,3.0,40.0,48.0,GL,GL11,IN,"THE AIRCRAFT OVERRAN THE RUNWAY AFTER A FAST, NO FLAP LANDING. LANDING LIGHT FAILED. PILOT SHUT OFF BATTERY.       ",                              ,  ,    ,           ,  ,    ,      ,Unknown             ,ME,V,A, ,33, , ,F,EX,HB,M,8,   ,U,U,N,H, ,0,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,3340,                    ,                    ,"Cracked, Split, Or B",Overshoot Landing   ,Roll-Out (Fixed Wing,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Night               ,Flight Personnel    ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
82922,82922,19870726046199I,I,91.0,-5,F,,,,,1030.0,,Z,Y,,,,S,OTH,1H71,1.0,H,7.0,,3O,3.0,O,CV,,,,,,N,,,3678C,CESSNA,180,180,5A6,CE,,,,H,CONT,O470A,O470,E273,SO,O,AL,AL01,AK,NORTH POLE,LACKLEDY,24,,,,06448N,14720W,1,B,B,S,,CLER,,,,DRY,,,,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870824.0,,19870824.0,,20120808.0,XX,N,0.0,1.0,S,45.0,O,90.0,10.0,10.0,150.0,AL,AL01,AK,ENGINE QUIT WITHOUT WARNING ON TAKEOFF. LANDED ON A ROAD. WATER FOUND IN THE CARBURETOR BOWL.                      ,                              ,  ,    ,           ,  ,    ,      ,None                ,II,E,A, ,28, , ,M,OB,IH,M,8,   ,U,U,N,A, ,8,STUDENT             ,NO RATING (OR STUDEN,STUDENT AIRPLANE OR ,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,                    ,2820,                    ,                    ,Fuel Contamination  ,Engine Malfunction  ,Forced/Precautionary,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,Wheeled-Conventional          ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
82972,82972,19871027060859A,A,91.0,0.4,N,,,,,1845.0,,Z,Y,,,,O,LSG,1L71,1.0,L,7.0,,3O,3.0,O,,,,,,,N,N,,5082T,BEECH,19A,23,A1CE,CE,,,,L,LYC,O320*,O320,E274,EA,O,EA,EA17,NJ,BUENA,,,,,,,,4,X,A,F,,OCST,500,2,FOG,DRY,,,,,,,2.0,0.0,0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,19871029.0,19871124.0,,,20120808.0,F3,N,5.0,3.0,M,27.0,K,15.0,,44.0,1736.0,EA,EA17,NJ,"ELECTRIC POWER LOST ON IFR DUAL FLIGHT. STRUCK POWER POLE ON FORCED LANDING, FOUND CIRCUIT BREAKER OFF. PILOT ERROR",                              ,  ,    ,           ,  ,    ,      ,Instrument Flight Ru,ME,E,A, ,II,Z,A, ,JA,DD,S,5,   ,Y,N,N,A,H,3,COMM PILOT FLIGHT IN,ASMEL               ,INSTRUMENT          ,"UNKNOWN, FOREIGN PIL",PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,                    ,Inadequate Insp Of A,Weather             ,Pilot-In-Command    ,                    ,Collision With Wires,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Instruction         ,Training            ,IFR                 ,Fog                 ,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,RECIPROCATING-OPPOSED         ,                              ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
83085,83085,19871027078949I,I,135.0,-5,F,,,,,746.0,,B,E,,,E,O,AFS,1L72,1.0,L,7.0,,3O,,,,,,,,A,N,,,107BA,BEECH,65B80,80,3A20,CE,,,,L,,,,,,,GL,GL15,MN,HIBBING,CHISHOLM-HIBBING,31,HIB,,,04723N,09250W,A,T,C,S,,,,,,DRY,GD,HIB,,,,,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19880308.0,,19880308.0,,20120808.0,3,N,10.0,3.0,S,45.0,K,825.0,218.0,218.0,5303.0,GL,GL15,MN,LANDING GEAR COLLAPSED BECAUSE IT WAS NEVER FULLY EXTENDED AND LOCKED. CAUSE GENERATORS WERE NEVER TURNED ON.      ,BEMIDJI AVIATION SERVICES INC ,MN,BEMA,14GL52     ,GL,GL15,      ,Instrument Flight Ru,ME,V,A, ,GF,E,A, ,CC,HA,M,5,IFT,Y,N,N,F,F,3,COMMERCIAL PILOT    ,ASMEL ASES          ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,"Op Gear Control, Fai",Emergency Landing   ,Pilot-In-Command    ,                    ,Gear Collapse       ,Level Off Touchdown ,                    ,Pilot Induced       ,Air Taxi (Sched-Not ,Cargo               ,Unknown             ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
83111,83111,19871101065959I,I,91.0,-5,F,,,,,1030.0,,A,X,,,,D,OPP,1H71,1.0,H,7.0,,3O,,,TR,,,,,,N,,,1090F,CESSNA,172N,172,3A12,CE,,,,H,,,,,,,SW,SW09,TX,DAVID W HOOKS M,HOUSTON,,,,,,,1,B,C,S,,,,,,,,,,,,,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871124.0,,19871124.0,,20120808.0,1,N,1.0,0.0,S,51.0,O,100.0,12.0,12.0,100.0,SW,SW09,TX,"WHILE TAXING, THIS AIRCRAFT STRUCK A PARKED AIRPLANE. THE PILOT REPORTED THAT THE SEAT UNLOCKED AND SLIPPED BACK.  ",                              ,  ,    ,           ,  ,    ,      ,None                ,II,V,A, ,HO,V,A, ,JJ,FE,M,5,   ,U,U,N,A,J,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Fail Avd Objs Or Obs,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Other,"Ground Taxi, Other A",                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,Pilot and Ground Cre,                    ,,, ,
83249,83249,19871014062899I,I,91.0,-5.0,F,,,,,1430.0,,E,D,,,,D,OTH,1L72,1.0,L,7.0,,3O,,,,,,,,,N,N,,6627U,BEECH,76,76,A29CE,CE,,,,L,,,,,,,SW,SW11,AR,STUTTGART,STUTTGART MUNI,18,,,,03436N,09135W,4,X,B,S,,SCAT,,10,,DRY,,,,,,,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871112.0,,19871112.0,,20120808.0,F3,N,5.0,3.0,S,27.0,K,40.0,10.0,250.0,950.0,SW,SW11,AR,"DURING MISSED APPROACH, CFI TURNED BOOST PUMP ON WHICH FLOODED THE SIMULATED FAILED ENGINE. AIRCRAFT FORCE LANDED. ",                              ,  ,    ,           ,  ,    ,      ,None                ,ME,E,A, ,  , , , ,OB,KF,M,5,   ,U,U,N,F, ,8,COMM PILOT FLIGHT IN,ASMEL               ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Engine Malfunction  ,Sfl Go Around       ,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Instructor   ,Re-Examination/Re-In,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                              ,                              ,                    ,                    ,                    ,                    ,,, ,
83272,83272,19871016063669I,I,91.0,-5.0,F,,,,,1840.0,,Z,Y,,,,O,ATS,1H71,1.0,H,7.0,,3O,,,,ZA,,,,,N,,,5298U,CESSNA,U206,206,A4CE,CE,,,,H,,,,,,,SO,SO17,FL,FT LAUDERDALE,FT LAUDERDALE EXECUTIVE,13,FXE,,,02612N,08010W,1,B,B,S,,SCAT,,G10,,DRY,,FXE,,,,,4.0,3.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19871116.0,,19871116.0,,20120808.0,1,N,1.0,0.0,S,47.0,O,11.0,11.0,15.0,137.0,SO,SO17,FL,OIL COVERED THE WINDSHIELD AFTER TAKEOFF. RETURNED. AIRCRAFT IMPROPERLY ALIGNED WITH RUNWAY. OIL FILLER CAP LOOSE. ,                              ,  ,    ,           ,  ,    ,      ,Unknown             ,II,O,A, ,IA,V,A, ,AA,HB,M,5,   ,U,U,N,F,A,0,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,                    ,Ac Improperly Align ,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,                              ,Unscheduled Landing ,                    ,                    ,Pilot and Ground Cre,,, ,
83346,83346,19870816056669A,A,121.0,0.4,N,,,,,2046.0,,Z,Y,,,,F,ATS,2L72,2.0,L,7.0,,4F,4.0,F,,ZY,,,,A,Y,Y,,312RC,DOUG,DC982,DC9,A6WE,WP,,,,L,PWA,JT8D217,JT8,E9NE,NE,F,GL,GL23,MI,DETROIT,DETROIT METRO WAYNE COUNTY,3,DTW,,,,,C,S,B,S,,BRKN,4500,6,HAZ,,,DTW,,,,,155.0,149.0,* ,1.0,2.0,2.0,0.0,4.0,0.0,4.0,5.0,2.0,0.0,0.0,156.0,6.0,19870928.0,19870928.0,,,20120808.0,9,N,10.0,3.0,S,57.0,K,1359.0,159.0,159.0,20859.0,,,,"TOOK OFF WITHOUT SLATS AND FLAPS EXTENDED. STRUCK LIGHT POLE,CRASHED AND BURNED. TAKEOFF WARNING SYSTEM INOPERATIVE",NORTHWEST AIRLINES INC        ,MN,NWAA,301F       ,GL,GL01,      ,Instrument Flight Ru,ME,F,A, ,31, , ,K,JA,IB,D,8,   ,N,N,N,F, ,3,AIRLINE TRANSPORT   ,ASMEL ASES          ,INSTRUMENT          ,QUALIFIED           ,PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Fire After Crash    ,Pilot-In-Command    ,                    ,3150,                    ,                    ,Jammed Or Malfunctio,Collision With Wires,To Init Climb(1st Pw,                    ,Pilot And Maintenanc,Scheduled Air Carrie,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,TURBOFAN/TURBOJET BYPASS      ,                              ,Abandoned Aircraft  ,                    ,                    ,                    ,,, ,
83359,83359,19870812051139I,I,91.0,-5.0,F,,,,,2155.0,,B,E,,,E,S,LSG,1H71,1.0,H,7.0,,3O,,,TR,,,,,,N,,,20152,CESSNA,172M,172,3A12,CE,,,,H,,,,,,,SO,SO15,FL,KISSIMMEE,KISSIMMEE MUNI,,,,,,,1,B,C,S,,,,,,,,,,,,,3.0,2.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870914.0,,19870914.0,,20120808.0,1,N,1.0,0.0,S,20.0,O,5.0,5.0,13.0,106.0,SO,SO15,FL,AIRCRAFT STRUCK POWERLINES WHILE CIRCLING A RESIDENCE AT NIGHT. INSTRUMENT PANEL LIGHTS WERE TURNED OFF.           ,                              ,  ,    ,           ,  ,    ,      ,None                ,ME,V,A, ,HO,H,A, ,JA,DF,M,5,   ,U,U,N,F,G,8,PRIVATE PILOT       ,ASEL                ,RATINGS SHOWN BY 1ST,QUALIFIED           ,UNKNOWN             ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Fail Avd Objs Or Obs,Hidden Hazardous Obj,Pilot-In-Command    ,                    ,Collision With Wires,Unauth Low Level Opn,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Night               ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                              ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
83407,83407,19870813057749I,I,91.0,-5.0,F,,,,,1100.0,,Z,Y,,,,D,ATS,1L72,1.0,L,7.0,,3T,4.0,T,TR,,,,,A,N,N,,665TM,CESSNA,441,441,A28CE,CE,,,,L,ARSRCH,TPE3318,TPE331,E4WE,WP,T,NM,NM07,ID,BOISE,,,,,,04324N,11615W,5,G,B,O,,BRKN,GR1K,G10,,,,,,,,,2.0,0.0,0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19870930.0,,19870930.0,,20120808.0,3,N,5.0,0.0,M,42.0,K,200.0,65.0,230.0,11000.0,NM,NM09,OR,BOTH ENGINES FLAMED OUT WHILE DESCENDING THROUGH CLOUDS. INLET HEAT NO ON. BOTH ENGINES WERE RESTARTED.            ,"TRINDLE, MICHAEL H            ",OR,GLQA,S643AT     ,NM,NM09,      ,Instrument Flight Ru,ME,I,A, ,  , , , ,OB,EX, ,5,VIS,U,U,N,E, ,3,COMMERCIAL PILOT    ,ASMEL               ,RATINGS SHOWN BY 1ST,"UNKNOWN, FOREIGN PIL",PROFESSIONAL PILOT  ,Fail/Incorrect Use M,Icing On Aircraft   ,Pilot-In-Command    ,                    ,                    ,                    ,                    ,                    ,Engine Malfunction  ,Descent             ,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Test Flight         ,VFR                 ,Freezing Temperature,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,TURBOPROP                     ,Wheeled-Tricycle              ,                    ,                    ,                    ,                    ,,, ,
