,c5,c119,c78,c80,c86,c77,c79,c81,c85,c87,c89,c91,c93,c95,c97,c99,c101,c103,c105,c107,c109,c131,c133,c135,c137,c146,c148,c150,c154,c161,c163,c183,c191,remark
908,19850822040369A,STRUCK TREES DURING NIGHT EMERGENCY LANDING AFTER ENGINE QUIT  WATER IN FUEL TANKS AND LINES ,II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Fcd/Prec Ldg From Cr,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,STRUCK TREES DURING NIGHT EMERGENCY LANDING AFTER ENGINE QUIT  WATER IN FUEL TANKS AND LINES 
909,19850627028279A,OVER PRIMING DURING STARTING PROCEDURES ON A HOT DAY RESULTED IN AN ENGINE FIRE WHICH CONSUMED THE AIRPLANE ,ME,F,  ,Fail/Incorrect Use M,Fire After Crash    ,Pilot-In-Command    ,,                    ,                    ,                    ,Fire Or Explosion-On,Starting Engines,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,Fire And Rescue - Ac,                    ,Pilot and Ground Cre,                    ,OVER PRIMING DURING STARTING PROCEDURES ON A HOT DAY RESULTED IN AN ENGINE FIRE WHICH CONSUMED THE AIRPLANE 
910,19850808054699A,DURING ROLLOUT A GUST OF WIND PICKED UP WING AND AIRCRAFT GROUND LOOPED  STEERING SPRING HAD TEMPORARY REPAIR ,AU,5,32,Attempt Operation Wi,Gusty Winds         ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Wind                ,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,DURING ROLLOUT A GUST OF WIND PICKED UP WING AND AIRCRAFT GROUND LOOPED  STEERING SPRING HAD TEMPORARY REPAIR 
911,19850629050419I,GEAR RETRACTED ON TAKEOFF ROLL  SELECTOR HAD BEEN INADVERTENTLY PLACED IN UP POSITION BY PILOT PRIOR TO FLIGHT ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Gear Collapse       ,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Flight Personnel    ,Violation           ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,GEAR RETRACTED ON TAKEOFF ROLL  SELECTOR HAD BEEN INADVERTENTLY PLACED IN UP POSITION BY PILOT PRIOR TO FLIGHT 
912,19850711054969I,CANOPY LATCH CAME LOOSE AND CANOPY BLEW OFF IN FLIGHT  DAMAGE TO STABILIZER BUT SAFE LANDING ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Normal Cruise,                    ,Pilot Induced       ,Other               ,Experimental Test Fl,Unknown             ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Declared Emergency  ,                    ,                    ,                    ,CANOPY LATCH CAME LOOSE AND CANOPY BLEW OFF IN FLIGHT  DAMAGE TO STABILIZER BUT SAFE LANDING 
913,19850718049789A,BEGAN TAKEOFF WITH CONTROL LOCK IN PLACE  CONTINUED WHILE TRYING TO REMOVE LOCK  LIFTED OFF AND CRASHED ONTO RUNWAY,II,E,TO,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Delay Action In Abor,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Uncontroll Coll With,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,BEGAN TAKEOFF WITH CONTROL LOCK IN PLACE  CONTINUED WHILE TRYING TO REMOVE LOCK  LIFTED OFF AND CRASHED ONTO RUNWAY
914,19850729066139I,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE  STICK BOOT NOT FASTENED TO FLOOR  LANDED IN A FIELD ,II,E,27,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,System/Component Mal,Climb,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,"FAA Sts, Policies Or",Other               ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,ELEVATOR CONTROL JAMMED SHEN HARNESS CAUGHT ON ELEVATOR CABLE  STICK BOOT NOT FASTENED TO FLOOR  LANDED IN A FIELD 
915,19850702029069A,"MUD NESTS BLOCKED FUEL CAP VENTS, FUEL STARVATION  STALLED ON TURN TO FIELD MILES WEST OF GREENBRIER VALLEY ARPT ",II,E,AS,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Fail To Maintain Ade,Emergency Landing   ,Pilot-In-Command    ,                    ,Stall               ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Ferry               ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,Pilot and Ground Cre,"MUD NESTS BLOCKED FUEL CAP VENTS, FUEL STARVATION  STALLED ON TURN TO FIELD MILES WEST OF GREENBRIER VALLEY ARPT "
916,19850828059239I,STRONG FUEL SMELL IN COCKPIT AT CRUISE  VECTORED TO AIRPORT  FUEL PRIMER UNLOCKED ,ME,O,  ,Fail/Incorrect Use M,Precautionary Landin,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Unscheduled Landing ,                    ,                    ,                    ,STRONG FUEL SMELL IN COCKPIT AT CRUISE  VECTORED TO AIRPORT  FUEL PRIMER UNLOCKED 
917,19850907063579I,OVERTURNED DURING WATER TAXI WITH FLOATS PARTIALLY SUBMERGED  NUMEROUS LEAKS FOUND IN BOTH FLOATS ,II,V,32,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Nose Up Or Over     ,"Ground Taxi, Other A",                    ,Pilot Induced       ,Personal            ,Pleasure            ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,OVERTURNED DURING WATER TAXI WITH FLOATS PARTIALLY SUBMERGED  NUMEROUS LEAKS FOUND IN BOTH FLOATS 
918,19850907055269I,LANDED WITHOUT DAMAGE AFTER ATTEMPTING TAKEOFF WITH FLAPS DOWN AND CARBURETOR HEAT ON  SOLO STUDENT ,ME,V,CH,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Misuse Carbht/Deic P,Emergency Landing   ,Pilot-In-Command    ,                    ,Forced Landing      ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,LANDED WITHOUT DAMAGE AFTER ATTEMPTING TAKEOFF WITH FLAPS DOWN AND CARBURETOR HEAT ON  SOLO STUDENT 
919,19850711035219A,"THROTTLE CABLE BECAME LOOSE  AUTOROTATED, HIT NOSE FIRST, BLADES HIT GROUND  NO PILOT OR MEDICAL CERTIFICATE ",II,E,76,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Pwr Off Run Land (Au,                    ,Pilot And Maintenanc,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,"THROTTLE CABLE BECAME LOOSE  AUTOROTATED, HIT NOSE FIRST, BLADES HIT GROUND  NO PILOT OR MEDICAL CERTIFICATE "
920,19850703044149A,ELEVATOR WOULD NOT MOVE ON TAKEOFF  RAN THROUGH FENCE AND HIT DIRT PILE  NON STANDARD CONTROL LOCK OVERLOOKED ,II,V,UO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Unsafe Acts By Third,Other/Miscellaneous ,Other/Pass/Cabin Cre,                    ,Collision With Fence,Takeoff Ground Roll,                    ,Pilot Induced       ,Other               ,Test Flight         ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,ELEVATOR WOULD NOT MOVE ON TAKEOFF  RAN THROUGH FENCE AND HIT DIRT PILE  NON STANDARD CONTROL LOCK OVERLOOKED 
921,19850803061679A,NOSED OVER AFTER LOSS OF DIRECTIONAL CONTROL ON LANDING  HYDRAULIC BRAKE HAD BEEN APPLIED IN FLIGHT ,ME,V,  ,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Nose Up Or Over     ,Roll-Out (Fixed Wing,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,NOSED OVER AFTER LOSS OF DIRECTIONAL CONTROL ON LANDING  HYDRAULIC BRAKE HAD BEEN APPLIED IN FLIGHT 
922,19850902044819A,ENGINE LOST OIL PRESSURE AND QUIT   LANDED IN SWAMP   NO MALFUNCTIONS FOUND   INDICATES NO OIL PRIOR TO FLIGHT ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Collision With Trees,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,ENGINE LOST OIL PRESSURE AND QUIT   LANDED IN SWAMP   NO MALFUNCTIONS FOUND   INDICATES NO OIL PRIOR TO FLIGHT 
923,19850810044759A,UNABLE TO RESTART ENGINE AFTER RUNNING A TANK DRY  FLIPPED OVER DURING DOWNWIND LANDING  FAILED TO USE BOOST PUMP ,ME,E,FT,Fail/Incorrect Use M,Emergency Landing   ,Pilot-In-Command    ,Improper Mgt/Fuel Ta,Emergency Landing   ,Pilot-In-Command    ,                    ,Nose Up Or Over     ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,UNABLE TO RESTART ENGINE AFTER RUNNING A TANK DRY  FLIPPED OVER DURING DOWNWIND LANDING  FAILED TO USE BOOST PUMP 
924,19850714039999I,LANDED ON ROAD AFTER NOTING RAPID DROP IN FUEL QUANTITY AND VAPOR FROM WING  FUEL CAP WAS COCKED ALLOWING SIPHONING,II,O,  ,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Ferry               ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LANDED ON ROAD AFTER NOTING RAPID DROP IN FUEL QUANTITY AND VAPOR FROM WING  FUEL CAP WAS COCKED ALLOWING SIPHONING
925,19850804036039A,CHIP DETECTORS CAME ON AFTER TAKEOFF  AUTOROTATIVE HARD LANDING  maintenance HAD DISCONNECTED TORQUE SENSORS ,II,E,DR,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Drank Alcoholic Beve,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Hard Landing        ,Pwr Off Run Land (Au,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,Fire And Rescue - Ac,                    ,                    ,                    ,CHIP DETECTORS CAME ON AFTER TAKEOFF  AUTOROTATIVE HARD LANDING  maintenance HAD DISCONNECTED TORQUE SENSORS 
926,19850704056159A,LANDED ON REMAINING RUNWAY WITH GEAR UP AFTER OIL COVERED WINDSHIELD  OIL FILLER CAP WAS NOT INSTALLED PROPERLY ,II,O,UO,Inadequate Insp Of A,Precautionary Landin,Pilot-In-Command    ,Unsafe Acts By Third,Other/Miscellaneous ,Maintenance And/Or G,                    ,Wheels-Up Landing   ,Forced/Precautionary,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LANDED ON REMAINING RUNWAY WITH GEAR UP AFTER OIL COVERED WINDSHIELD  OIL FILLER CAP WAS NOT INSTALLED PROPERLY 
927,19850725040629I,FUEL SIPHONING IDENTIFIED AS SMOKE  ENGINE SHUTDOWN AND LANDED GEAR UP IN FIELD  UNABLE TO maintain ALTITUDE ,II,E,FP,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Fail Follow Approved,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Wheels-Up Landing   ,Level Off Touchdown,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,FUEL SIPHONING IDENTIFIED AS SMOKE  ENGINE SHUTDOWN AND LANDED GEAR UP IN FIELD  UNABLE TO maintain ALTITUDE 
928,19850716038969A,IMPROPERLY SECURED CARGO DEPARTED THE HELICOPTER FROM AN OPEN CARGO DOOR STRIKING TAIL AND MAIN ROTORS ,II,G,  ,Inadequate Insp Of A,Glassy Water        ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Pwr Off Run Land (Au,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers And Cargo,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,ROTARY WING-HELI/GYROCOPTER   ,POWERED                       ,UNDER 750 HP                  ,Over Water/Into Wate,                    ,                    ,                    ,IMPROPERLY SECURED CARGO DEPARTED THE HELICOPTER FROM AN OPEN CARGO DOOR STRIKING TAIL AND MAIN ROTORS 
929,19850618035629I,ABORTED TAKEOFF WHEN CAPTAINS WINDOW CAME AJAR  AT GATE maintenance PERFORMED REJECTED TAKEOFF INSPECTION ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Other-Miscellaneous ,Takeoff Ground Roll,                    ,Pilot Induced       ,Scheduled Air Carrie,Passengers          ,Unknown             ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,Rejected Takeoff    ,                    ,                    ,                    ,ABORTED TAKEOFF WHEN CAPTAINS WINDOW CAME AJAR  AT GATE maintenance PERFORMED REJECTED TAKEOFF INSPECTION 
930,19850615025709A,OVERRUN SHORT GRAVEL RUNWAY ON THE TAKEOFF RUN  NOSED OVER IN A LAKE  PILOT FAILED TO USE THROTTLE FRICTION LOCK ,ME,V,PP,Fail/Incorrect Use M,Other/Miscellaneous ,Pilot-In-Command    ,Poor Preflight Plan/,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Nose Up Or Over     ,Takeoff Ground Roll,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Passengers          ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,OVERRUN SHORT GRAVEL RUNWAY ON THE TAKEOFF RUN  NOSED OVER IN A LAKE  PILOT FAILED TO USE THROTTLE FRICTION LOCK 
931,19850726053599I,TOUCHED DOWN SHORT OF RUNWAY IN FOG AFTER ILS APROACH WITHOUT OPERATIVE GLIDESLOPE ,AU,Z,US,Attempt Operation Wi,Weather             ,Pilot-In-Command    ,Landed Short,Weather             ,Pilot-In-Command    ,                    ,Undershoot Landing  ,Final Approach-IFR,                    ,Pilot Induced       ,Personal            ,Pleasure            ,IFR                 ,Fog                 ,Night               ,Flight Personnel    ,Re-Examination/Re-In,Flight Personnel    ,Violation           ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,TOUCHED DOWN SHORT OF RUNWAY IN FOG AFTER ILS APROACH WITHOUT OPERATIVE GLIDESLOPE 
932,19850816043229A,GEAR COLLAPSED AT 60 MPH ON TAKEOFF ROLL  NO MALFUNCTION FOUND IN RETRACTION SYSTEM  POSSIBLE GEAR HANDLE UNLOCKED ,II,V,GP,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Retract Gear Early O,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Gear Collapse       ,Takeoff Ground Roll,                    ,Pilot Induced       ,Business            ,None Or Other       ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,GEAR COLLAPSED AT 60 MPH ON TAKEOFF ROLL  NO MALFUNCTION FOUND IN RETRACTION SYSTEM  POSSIBLE GEAR HANDLE UNLOCKED 
933,19850812050409I,AIRCRAFT WAS TAXIED INTO AN OPEN TRENCH DAMAGING NOSE GEAR AND FIREWALL ,AF,V,HO,Improper Maintenance,Other/Miscellaneous ,Airport Supervisory ,Fail Avd Objs Or Obs,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Other,"Ground Taxi, Other A",                    ,Pilot Induced       ,Personal            ,Military Club       ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,AIRCRAFT WAS TAXIED INTO AN OPEN TRENCH DAMAGING NOSE GEAR AND FIREWALL 
934,19850623027189A,"PITCHED NOSE DOWN AFTER FLAP RETRACTION DURING STOL TAKEOFF  BOUNCED, POWER REDUCED STRUCK GROUND  CONTROL LOCK ON ",II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,                              ,                              ,                              ,                              ,Automotive Fuel     ,Fire And Rescue - Ac,                    ,                    ,"PITCHED NOSE DOWN AFTER FLAP RETRACTION DURING STOL TAKEOFF  BOUNCED, POWER REDUCED STRUCK GROUND  CONTROL LOCK ON "
935,19850805040409A,IMPACTED IN BACKYARDS OF RESIDENCES AFTER FUEL EXHAUSTION  FUEL GAUGES COMPLETELY UNRELIABLE  ANNUAL EXPIRED IN  ,AU,E,PF,Attempt Operation Wi,Emergency Landing   ,Pilot-In-Command    ,Poor Preflight Plan,Emergency Landing   ,Pilot-In-Command    ,                    ,Control Coll With Gr,Fcd/Prec Ldg From Cr,                    ,Pilot Induced       ,Air Taxi (Non-Schedu,Cargo               ,VFR                 ,Weather Not A Factor,Night               ,Maintenance And Oper,Vol Surrender Of Cer,Flight Personnel    ,Violation           ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,IMPACTED IN BACKYARDS OF RESIDENCES AFTER FUEL EXHAUSTION  FUEL GAUGES COMPLETELY UNRELIABLE  ANNUAL EXPIRED IN  
936,19850716032239A,"LANDED IN SWAMP AFTER POWER LOSS ON TAKEOFF  FUEL SELECTOR IMPROPERLY POSITIONED, DETENT NOT EASY TO DISCERN ",II,E,28,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot And Maintenanc,Instruction         ,Training            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,Pilot and Ground Cre,                    ,"LANDED IN SWAMP AFTER POWER LOSS ON TAKEOFF  FUEL SELECTOR IMPROPERLY POSITIONED, DETENT NOT EASY TO DISCERN "
937,19850813056319A,"ABORTED TAKEOFF AFTER NOISE IN COCKPIT  RAN OFF RUNWAY END, STRUCK BERM AND DITCH  FLAT SPOT ON ONE MAIN TIRE ",II,V,TO,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,Delay Action In Abor,Other/Miscellaneous ,Pilot-In-Command    ,                    ,Collision With Other,To Aborted (Fixed Wi,                    ,Pilot Induced       ,Air Taxi (Sched-Not ,Cargo               ,VFR                 ,Weather Not A Factor,Night               ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,Rejected Takeoff    ,                    ,                    ,Pilot and Ground Cre,"ABORTED TAKEOFF AFTER NOISE IN COCKPIT  RAN OFF RUNWAY END, STRUCK BERM AND DITCH  FLAT SPOT ON ONE MAIN TIRE "
938,19850715053139I,DURING TAKEOFF GROUND RUN SEAT SLID BACK AND DIRECTIONAL CONTROL WAS LOST  LANDING GEAR COLLAPSED OFF RUNWAY SIDE ,II,V,  ,Inadequate Insp Of A,Other/Miscellaneous ,Pilot-In-Command    ,,                    ,                    ,                    ,Loss Of Dir Ctl-Grnd,Takeoff Ground Roll,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,                              ,                    ,                    ,                    ,                    ,DURING TAKEOFF GROUND RUN SEAT SLID BACK AND DIRECTIONAL CONTROL WAS LOST  LANDING GEAR COLLAPSED OFF RUNWAY SIDE 
939,19850826041329A,LOW POWER ON TAKEOFF  CONTINUED LOSS OF POWER DURING 180  LANDED SHORT IN BEAN FIELD  PILOT LEFT RAG IN AIR INLET ,II,E,  ,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,,                    ,                    ,                    ,Control Coll With Gr,Forced/Precautionary,                    ,Pilot Induced       ,Other               ,Experimental Test Fl,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-MID WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,LOW POWER ON TAKEOFF  CONTINUED LOSS OF POWER DURING 180  LANDED SHORT IN BEAN FIELD  PILOT LEFT RAG IN AIR INLET 
940,19850625055149A,WATER TAKEOFF WITH REAR CONTROL STICK FASTENED FULL AFT BY SEAT BELT  STALLED INTO WATER WHERE AIRCRAFT SANK ,II,E,AS,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Fail To Maintain Ade,Ditching            ,Pilot-In-Command    ,                    ,Stall               ,To Init Climb(1st Pw,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Day                 ,Other               ,Not Reported        ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-HIGH WING/PARA WING ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,                    ,WATER TAKEOFF WITH REAR CONTROL STICK FASTENED FULL AFT BY SEAT BELT  STALLED INTO WATER WHERE AIRCRAFT SANK 
941,19850630031189A,LANDED SHORT OF RUNWAY IN TUNDRA AFTER ENGINES QUIT FROM FUEL STARVATION  FUEL CAP HAD NOT BEEN SECURED ON ONE WING,II,E,PF,Inadequate Insp Of A,Emergency Landing   ,Co-Pilot            ,Poor Preflight Plan,Emergency Landing   ,Pilot-In-Command    ,                    ,Control Coll With Gr,Forced Landing,                    ,Pilot Induced       ,Business            ,Cargo               ,IFR                 ,Fog                 ,Day                 ,Other               ,Not Reported        ,                    ,                    ,OVER 12500 LBS                ,MONOPLANE-LOW WING            ,POWERED                       ,750 HP AND OVER               ,Fire And Rescue - Al,                    ,                    ,                    ,LANDED SHORT OF RUNWAY IN TUNDRA AFTER ENGINES QUIT FROM FUEL STARVATION  FUEL CAP HAD NOT BEEN SECURED ON ONE WING
942,19850725033709A,"IMPACTED IN A STEEP BANK TURNING TOWARDS RUNWAY WITH OIL COVERED WINDSHILD   OIL CAP NOT ON, NO MALFUNCTION FOUND ",II,E,LR,Inadequate Insp Of A,Emergency Landing   ,Pilot-In-Command    ,Lost Ground Ref At N,Emergency Landing   ,Pilot-In-Command    ,                    ,Uncontroll Coll With,Forced Landing,                    ,Pilot Induced       ,Personal            ,Pleasure            ,VFR                 ,Weather Not A Factor,Night               ,None                ,None                ,                    ,                    ,UNDER 12501 LBS               ,MONOPLANE-LOW WING            ,POWERED                       ,UNDER 750 HP                  ,                    ,                    ,                    ,Pilot and Ground Cre,"IMPACTED IN A STEEP BANK TURNING TOWARDS RUNWAY WITH OIL COVERED WINDSHILD   OIL CAP NOT ON, NO MALFUNCTION FOUND "
